Município;1991;2000;2010;Total
130160 FONTE BOA;3,76;4,27;6,15;4,79
130165 GUAJARA;3,82;23,92;3,72;9,78
130170 HUMAITA;8,05;10,98;9,45;9,46
130180 IPIXUNA;25,57;9,99;5,07;10,11
130185 IRANDUBA;3,79;15,62;5,9;8,69
130190 ITACOATIARA;6,97;16,26;8,99;11,02
130195 ITAMARATI;1,6;3,82;5,86;3,59
130200 ITAPIRANGA;9,15;20,09;9,82;13,7
130210 JAPURA;1,83;26,11;11,28;12,68
130220 JURUA;4,18;6,67;7,67;6,82
130230 JUTAI;8,65;13,82;5,19;9,14
130240 LABREA;11,1;23,05;8,75;13,42
130250 MANACAPURU;6,18;19,07;9,51;12,01
130255 MANAQUIRI;10,35;5,14;7,46;6,99
130260 MANAUS;10,96;23,44;10,79;15,06
130270 MANICORE;5,48;16,65;7,33;9,76
130280 MARAA;1,28;16,46;17,67;13,48
130290 MAUES;7,3;12,04;4,3;7,52
130300 NHAMUNDA;1,86;6,42;14,3;8,44
130310 NOVA OLINDA DO NORTE;10,57;16,33;5,84;9,88
130320 NOVO AIRAO;7,84;16,67;5,78;9,18
130330 NOVO ARIPUANA;7,05;22,22;8,58;12,48
130340 PARINTINS;8,83;15,35;8,68;11,02
130350 PAUINI;6;9,36;10,55;8,98
130353 PRESIDENTE FIGUEIREDO;8,96;8,6;5,63;6,92
130356 RIO PRETO DA EVA;6,99;20,93;15,74;16,91
130360 SANTA ISABEL DO RIO NEGRO;2,09;8,96;5,71;5,39
130370 SANTO ANTONIO DO ICA;3,37;10,37;7,18;7,55
130380 SAO GABRIEL DA CACHOEIRA;3,39;4,77;4,33;4,15
130390 SAO PAULO DE OLIVENCA;5,45;11,79;3,54;6,63
130395 SAO SEBASTIAO DO UATUMA;5,57;4,62;1,85;3,32
130400 SILVES;2,69;5,92;10,55;7,17
130406 TABATINGA;7,09;10,15;7,81;8,42
130410 TAPAUA;14,19;16,14;4,82;10,99
130420 TEFE;7,33;18,32;6,58;11,29
130423 TONANTINS;24,87;3,66;6;8,67
130426 UARINI;1,58;10,62;1,52;4,88
130430 URUCARA;8,05;7,77;6,24;7,23
130440 URUCURITUBA;8,01;8,28;8,71;8,4
140002 AMAJARI;...;11,55;21,71;17,07
140005 ALTO ALEGRE;3,63;9,66;4,53;6,28
140010 BOA VISTA;10,28;14,15;7,33;10,13
140015 BONFIM;13,63;17,23;5,95;12,21
140017 CANTA;...;10,64;5,19;7,52
140020 CARACARAI;11,18;15,39;8,31;11,33
140023 CAROEBE;...;6,81;7,4;7,19
140028 IRACEMA;...;9,77;12,19;11,31
140030 MUCAJAI;6,67;13,47;6,16;8,78
140040 NORMANDIA;12,38;50,3;27,76;30,38
140045 PACARAIMA;...;8,58;4,66;6,4
140047 RORAINOPOLIS;...;18,28;6,09;10,68
140050 SAO JOAO DA BALIZA;6,58;14,94;6,87;8,97
140060 SAO LUIZ;2,68;20,91;8,85;10,17
140070 UIRAMUTA;...;8,99;1,68;4,44
150010 ABAETETUBA;4,55;12,81;8,55;9,11
150013 ABEL FIGUEIREDO;...;6,43;10,97;8,96
150020 ACARA;0,63;8,45;7,31;6,08
150030 AFUA;3,89;9,19;11,76;9,28
150034 AGUA AZUL DO NORTE;...;13,08;13,52;13,34
150040 ALENQUER;2,19;10,82;6,56;6,51
150050 ALMEIRIM;7,64;12,02;10,67;10,4
150060 ALTAMIRA;4,39;10,67;6,63;7,37
150070 ANAJAS;0,97;11,58;5,99;6,67
150080 ANANINDEUA;5,62;19,8;10,98;14,11
150085 ANAPU;...;4,12;3,59;3,72
150090 AUGUSTO CORREA;1,44;1,73;3,81;2,42
150095 AURORA DO PARA;...;5,95;8,01;7,05
150100 AVEIRO;9,6;5,23;6,07;6,45
150110 BAGRE;3,57;13,19;12,11;10,67
150120 BAIAO;4,32;6,31;4,1;4,69
150125 BANNACH;...;6,48;6,16;6,31
150130 BARCARENA;6,98;13,38;13,11;12,12
150140 BELEM;7,94;18,81;10,07;12,43
150145 BELTERRA;...;12,8;12,01;12,33
150150 BENEVIDES;11,93;22,23;13,6;15,04
150157 BOM JESUS DO TOCANTINS;1,67;10,75;6,23;6,12
150160 BONITO;5,72;2,24;6,55;5,06
150170 BRAGANCA;2,99;9,6;5,75;6,26
150172 BRASIL NOVO;...;2,72;4,05;3,39
150175 BREJO GRANDE DO ARAGUAIA;1,42;5,7;3,94;3,6
150178 BREU BRANCO;...;9,32;12,69;11,52
150180 BREVES;4,61;10,79;8,46;8,26
150190 BUJARU;5,53;10,37;3,27;6,3
150195 CACHOEIRA DO PIRIA;...;8,74;4,98;6,42
150200 CACHOEIRA DO ARARI;5,84;9,1;10,34;8,92
150210 CAMETA;4,5;10,36;6,49;7,28
150215 CANAA DOS CARAJAS;...;4,78;10,75;9,32
150220 CAPANEMA;2,75;13,2;8,88;8,77
150230 CAPITAO POCO;1,69;8,84;5,83;5,77
150240 CASTANHAL;7,25;13,65;9,52;10,41
150250 CHAVES;10,3;15,38;6,15;10,06
150260 COLARES;6,08;9,4;4,85;6,93
150270 CONCEICAO DO ARAGUAIA;3,25;13,16;7,01;7,7
150275 CONCORDIA DO PARA;1,88;9,83;5,04;5,96
150276 CUMARU DO NORTE;...;19,22;7,63;10,98
150277 CURIONOPOLIS;2;15,67;11,39;7,64
150280 CURRALINHO;14,12;9,63;6,76;9,2
